Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,STL_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
38,Average Frontcourt MVP - Past 30 Years,38.5934795322,9.70175438596,18.7912280702,0.515832376857,0.605263157895,1.74561403509,0.232454085302,0.531889515964,6.44561403509,8.59122807018,0.751319016723,10.5614035088,4.81929824561,1.30701754386,26.4543859649,0.58615952832,24.5066666667,12.1622807018,30.5429824561,116.719298246,98.001754386
39,Average Frontcourt MVP - Past 30 Years,38.6643304843,9.67863247863,18.7982905983,0.514363022056,0.611965811966,1.76068376068,0.23335165073,0.530561365845,6.47179487179,8.6358974359,0.750243953211,10.5692307692,4.83247863248,1.32478632479,26.441025641,0.585117837913,24.4760683761,12.1615384615,30.5362393162,116.608547009,98.064957265
40,Average Frontcourt MVP - Past 30 Years,38.6568611111,9.70666666667,18.81,0.5156368674,0.618333333333,1.76666666667,0.234540526516,0.53194528189,6.46,8.60833333333,0.751081724033,10.5316666667,4.84666666667,1.31333333333,26.4916666667,0.58624567333,24.5253333333,12.1341666667,30.5411666667,116.82,98.1616666667
41,Average Frontcourt MVP - Past 30 Years,38.6977506775,9.74634146341,18.8959349593,0.515288746376,0.627642276423,1.7756097561,0.235632871212,0.531770691168,6.43577235772,8.57886178862,0.751041904065,10.5398373984,4.83739837398,1.33008130081,26.556097561,0.585745286823,24.5123577236,12.0645528455,30.5585365854,116.834146341,98.206504065
42,Average Frontcourt MVP - Past 30 Years,38.7166931217,9.7746031746,18.9174603175,0.516229939339,0.633333333333,1.77936507937,0.235340653365,0.532800740334,6.42698412698,8.56507936508,0.750632631693,10.5412698413,4.84603174603,1.3253968254,26.6095238095,0.586496470009,24.5382539683,12.0350793651,30.576984127,116.946031746,98.2523809524
43,Average Frontcourt MVP - Past 30 Years,38.7041860465,9.76279069767,18.9178294574,0.515552304862,0.627906976744,1.77519379845,0.231981512398,0.532020442771,6.4511627907,8.58139534884,0.751665978443,10.5751937984,4.83410852713,1.32868217054,26.6046511628,0.586194650939,24.4390697674,12.0663565891,30.6035658915,116.925581395,98.2511627907
44,Average Frontcourt MVP - Past 30 Years,38.6945577872,9.75750528541,18.9147991543,0.515403882879,0.622938689218,1.77755461593,0.227752701925,0.531719464299,6.43636363636,8.56395348837,0.751424605842,10.5859760395,4.84101479915,1.32350246653,26.5743128964,0.585807794278,24.4937279774,12.0789358703,30.614119098,116.843128964,98.3541930937
45,Average Frontcourt MVP - Past 30 Years,38.6896015713,9.75259259259,18.881043771,0.516089009773,0.625353535354,1.77653198653,0.235272418461,0.532500786874,6.44141414141,8.56909090909,0.751766654645,10.5598316498,4.84915824916,1.32818181818,26.571952862,0.586525091757,24.5301043771,12.1293535354,30.6035925926,116.854882155,98.3414478114
46,Average Frontcourt MVP - Past 30 Years,38.7028309179,9.76682769726,18.9026409018,0.516269691406,0.630692431562,1.78869565217,0.234825776359,0.532756204968,6.44476650564,8.58128824477,0.751493894285,10.5489855072,4.85677938808,1.32396135266,26.6091143317,0.586647973396,24.5520676329,12.1353816425,30.6479484702,116.87136876,98.4665700483
47,Average Frontcourt MVP - Past 30 Years,38.6701680543,9.75057045945,18.8594202899,0.51657950531,0.6386062288,1.79614554425,0.236002258742,0.533324652173,6.43518347209,8.55457909343,0.753246135591,10.5613937712,4.86265803269,1.3185013876,26.5749306198,0.587326058216,24.5636416898,12.1431822387,30.6082886216,117.042830712,98.4270120259
48,Average Frontcourt MVP - Past 30 Years,38.6783141253,9.75992907801,18.8926713948,0.516239591097,0.637825059102,1.79476950355,0.232477346275,0.532963499924,6.44400118203,8.55254137116,0.754599978695,10.5703900709,4.86835106383,1.32018321513,26.6016843972,0.587142486037,24.6164509456,12.1169060284,30.6337529551,117.125029551,98.4295212766
49,Average Frontcourt MVP - Past 30 Years,38.6598852041,9.74708049887,18.881292517,0.516033567153,0.638350340136,1.79761904762,0.232171674102,0.532785001183,6.4227324263,8.51541950113,0.755390634977,10.5395975057,4.88741496599,1.31632653061,26.5552437642,0.586941903649,24.6762046485,12.0493253968,30.5897902494,117.219671202,98.4930555556
50,Average Frontcourt MVP - Past 30 Years,38.7702769679,9.89017492711,19.0782507289,0.518380314017,0.687405247813,1.93183673469,0.246388806615,0.536403229976,6.35239067055,8.45262390671,0.7533928838,10.6137317784,4.95758017493,1.32355685131,26.8201457726,0.588432340749,24.8470349854,11.9137609329,30.5946734694,117.628950437,98.614548105
51,Average Frontcourt MVP - Past 30 Years,38.7823118581,9.91616246499,19.1089355742,0.518928178138,0.686554621849,1.93176470588,0.245808254983,0.53691809525,6.37887955182,8.48411764706,0.753868370462,10.6283473389,4.98507002801,1.33680672269,26.8977591036,0.589013592773,24.9477871148,11.9016918768,30.6347366947,117.776246499,98.56767507
52,Average Frontcourt MVP - Past 30 Years,38.8015531854,9.92601271278,19.1261312217,0.519009691919,0.692577030812,1.94820620556,0.245902103984,0.537117346147,6.36605796165,8.45687890541,0.754971913894,10.62031351,4.99652553329,1.35089420384,26.910660418,0.589190999725,25.0059469942,11.9859028227,30.6659663866,117.640002155,98.4583333333
