,Game,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
41,42,37.4746031746,8.14285714286,19.4047619048,0.41963190184,2.66666666667,8.02380952381,0.33234421365,0.488343558282,8.69047619048,10.0476190476,0.864928909953,5.85714285714,6.66666666667,27.6428571429,0.580105528241,33.9214285714,16.8333333333,33.2619047619,110.142857143,107.976190476
42,43,37.5414728682,8.06976744186,19.2325581395,0.419588875453,2.6511627907,8.0,0.331395348837,0.488512696493,8.67441860465,10.1162790698,0.857471264368,5.79069767442,6.6976744186,27.4651162791,0.57983110762,33.7860465116,16.7790697674,32.9953488372,110.279069767,108.651162791
43,44,37.5075757576,8.09090909091,19.2954545455,0.419316843345,2.65909090909,7.97727272727,0.333333333333,0.488221436985,8.75,10.1590909091,0.86129753915,6.04545454545,6.86363636364,27.5909090909,0.580483513121,34.3840909091,16.8068181818,33.1136363636,110.522727273,108.75
44,45,37.4318518519,8.11111111111,19.2,0.422453703704,2.71111111111,7.97777777778,0.339832869081,0.493055555556,8.71111111111,10.1111111111,0.861538461538,6.02222222222,6.88888888889,27.6444444444,0.584476602142,34.6088888889,16.6488888889,32.9511111111,111.533333333,108.666666667
45,46,37.3934782609,8.08695652174,19.1739130435,0.421768707483,2.71739130435,8.02173913043,0.338753387534,0.492630385488,8.65217391304,10.0217391304,0.863340563991,6.21739130435,6.95652173913,27.5434782609,0.583957081229,34.7282608696,16.4782608696,32.8652173913,111.913043478,108.673913043
46,47,37.4741134752,8.14893617021,19.1914893617,0.424611973392,2.72340425532,7.95744680851,0.342245989305,0.4955654102,8.68085106383,10.0212765957,0.866242038217,6.31914893617,6.97872340426,27.7021276596,0.586888319931,34.7765957447,16.2893617021,32.8063829787,112.638297872,108.744680851
47,48,37.2684027778,8.08333333333,19.0,0.425438596491,2.6875,7.85416666667,0.342175066313,0.496162280702,8.6875,10.0,0.86875,6.25,6.875,27.5416666667,0.588497150997,34.4270833333,16.5,32.7416666667,112.604166667,109.354166667
48,49,37.3119047619,8.08163265306,19.0612244898,0.423982869379,2.67346938776,7.83673469388,0.341145833333,0.494111349036,8.81632653061,10.1428571429,0.869215291751,6.26530612245,6.87755102041,27.6530612245,0.587760696811,34.387755102,16.3510204082,32.7244897959,112.612244898,109.346938776
49,50,37.3123333333,8.16,19.08,0.427672955975,2.74,7.86,0.348600508906,0.499475890985,8.84,10.14,0.871794871795,6.28,6.96,27.9,0.59256804975,34.806,16.176,32.684,113.66,109.46
50,51,37.2604575163,8.19607843137,19.0784313725,0.429599177801,2.74509803922,7.86274509804,0.349127182045,0.501541623844,8.72549019608,10.0196078431,0.87084148728,6.23529411765,7.09803921569,27.862745098,0.593151005143,35.3843137255,16.1058823529,32.6745098039,113.921568627,109.31372549
