,Game,Name,MP_G,FG_G,FGA_G,FG_PCT,3FG_G,3FGA_G,3FG_PCT,eFG_PCT,FT_G,FTA_G,FT_PCT,RBD_G,AST_G,PTS_G,TS_G,ASTPCT_G,TOV_PCT_G,USG_PCT_G,OFRTG_G,DFRTG_G
54,55,Tim Duncan 2015,29.8423333333,5.74,11.6,0.494827586207,0.02,0.06,0.333333333333,0.495689655172,3.14,4.32,0.726851851852,9.8,2.94,14.64,0.542190092439,17.1,12.616,23.572,110.18,97.7
55,56,Tim Duncan 2015,29.8075163399,5.76470588235,11.6470588235,0.494949494949,0.0196078431373,0.0588235294118,0.333333333333,0.495791245791,3.07843137255,4.25490196078,0.723502304147,9.80392156863,2.88235294118,14.6274509804,0.540987410802,16.7647058824,12.6078431373,23.6098039216,109.843137255,97.6274509804
56,57,Tim Duncan 2015,29.7820512821,5.82692307692,11.6538461538,0.5,0.0192307692308,0.0576923076923,0.333333333333,0.500825082508,3.05769230769,4.21153846154,0.72602739726,9.76923076923,2.86538461538,14.7307692308,0.545304402301,16.7384615385,12.6230769231,23.6192307692,110.307692308,98.0384615385
57,58,Tim Duncan 2015,29.7625786164,5.79245283019,11.679245283,0.495961227787,0.0188679245283,0.0566037735849,0.333333333333,0.496768982229,3.07547169811,4.24528301887,0.724444444444,9.69811320755,2.8679245283,14.679245283,0.541782729805,16.7566037736,12.4981132075,23.6622641509,109.867924528,98.1132075472
58,59,Tim Duncan 2015,29.5962962963,5.74074074074,11.5740740741,0.496,0.0185185185185,0.0555555555556,0.333333333333,0.4968,3.01851851852,4.16666666667,0.724444444444,9.7037037037,2.83333333333,14.5185185185,0.541436464088,16.5722222222,12.7296296296,23.5259259259,109.555555556,97.6111111111
59,60,Tim Duncan 2015,29.4112121212,5.67272727273,11.4363636364,0.496025437202,0.0181818181818,0.0545454545455,0.333333333333,0.496820349762,2.98181818182,4.12727272727,0.722466960352,9.63636363636,2.85454545455,14.3454545455,0.541241356602,16.72,12.4981818182,23.3,110.109090909,97.3090909091
60,61,Tim Duncan 2015,29.3913690476,5.67857142857,11.375,0.499215070644,0.0178571428571,0.0535714285714,0.333333333333,0.5,2.98214285714,4.16071428571,0.716738197425,9.51785714286,2.85714285714,14.3571428571,0.543595845954,16.6982142857,12.4285714286,23.2285714286,110.5,97.5535714286
61,62,Tim Duncan 2015,29.3619883041,5.57894736842,11.3157894737,0.493023255814,0.0175438596491,0.0701754385965,0.25,0.493798449612,2.98245614035,4.15789473684,0.717299578059,9.49122807018,2.85964912281,14.1578947368,0.538516976297,16.6122807018,12.3736842105,23.1245614035,109.50877193,97.7894736842
62,63,Tim Duncan 2015,29.4810344828,5.56896551724,11.3275862069,0.491628614916,0.0172413793103,0.0689655172414,0.25,0.492389649924,2.96551724138,4.15517241379,0.713692946058,9.55172413793,2.84482758621,14.1206896552,0.536669113022,16.4586206897,12.2775862069,23.0344827586,109.431034483,98.0344827586
63,64,Tim Duncan 2015,29.6994350282,5.59322033898,11.3220338983,0.494011976048,0.0169491525424,0.0677966101695,0.25,0.494760479042,2.98305084746,4.16949152542,0.715447154472,9.57627118644,2.93220338983,14.186440678,0.539137380192,16.6016949153,12.3830508475,22.9508474576,109.830508475,98.406779661
